storage_variant,trigger_policy,quality_id,prompt_envelope,n,completion,progress,retries,wakes,false_wakes,late_wakes,wasted_wakes,thrash,trigger_precision,trigger_recall,cost_proxy,storage_reads,storage_writes,storage_bytes,storage_age,escalation_event,escalation_failure
LIVE_BELIEF,EVENT_DRIVEN,Q05_DELAY3,COMPACT_TYPED,288,1.0,9.125,2.875,1.0,0.0,1.0,0.25,0.5,1.0,1.0,13.75,1.0,1.0,164.5,5.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q05_DELAY3,VERBOSE_TYPED,288,1.0,9.125,2.875,1.0,0.0,1.0,0.25,0.5,1.0,1.0,16.75,1.0,1.0,165.5,5.0,1.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q06_FALSE3,COMPACT_TYPED,288,1.0,11.375,0.625,2.0,1.0,0.0,1.25,0.5,0.5,1.0,21.25,2.0,4.0,662.5,7.0,2.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q06_FALSE3,VERBOSE_TYPED,288,1.0,11.375,0.625,2.0,1.0,0.0,1.25,0.5,0.5,1.0,33.25,2.0,4.0,666.5,7.0,2.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q07_DUP_OOO,COMPACT_TYPED,288,1.0,10.625,1.375,2.0,0.0,0.0,1.25,0.5,1.0,1.0,20.75,2.0,3.0,493.5,6.0,2.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q07_DUP_OOO,VERBOSE_TYPED,288,1.0,10.625,1.375,2.0,0.0,0.0,1.25,0.5,1.0,1.0,29.75,2.0,3.0,496.5,6.0,2.0,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q08_GUARDED,COMPACT_TYPED,288,0.78125,8.36458333,3.63541667,1.71875,1.0,0.0,1.1875,0.37847222,0.359375,0.71875,21.73958333,1.71875,1.71875,284.34375,6.5625,1.71875,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q08_GUARDED,VERBOSE_TYPED,288,0.78125,8.36458333,3.63541667,1.71875,1.0,0.0,1.1875,0.37847222,0.359375,0.71875,29.05208333,1.71875,1.71875,286.0625,6.5625,1.71875,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q09_HOSTILE,COMPACT_TYPED,288,0.60763889,6.41319444,5.58680556,1.49305556,1.0,0.0,1.13541667,0.25347222,0.24652778,0.49305556,27.10416667,1.49305556,2.49305556,413.37152778,6.02777778,1.49305556,0.0
LIVE_BELIEF,EVENT_DRIVEN,Q09_HOSTILE,VERBOSE_TYPED,288,0.60763889,6.41319444,5.58680556,1.49305556,1.0,0.0,1.13541667,0.25347222,0.24652778,0.49305556,40.54166667,1.49305556,2.49305556,415.86458333,6.02777778,1.49305556,0.0
LIVE_BELIEF,FAILURE_THRESHOLD,Q00_CLEAN,COMPACT_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,49.5,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q00_CLEAN,VERBOSE_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,52.5,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q01_RECALL75,COMPACT_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,49.21875,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q01_RECALL75,VERBOSE_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,51.375,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q02_RECALL50,COMPACT_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,48.99305556,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q02_RECALL50,VERBOSE_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,50.47222222,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q03_RECALL25,COMPACT_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,48.73611111,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q03_RECALL25,VERBOSE_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,49.44444444,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q04_DELAY1,COMPACT_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,49.5,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q04_DELAY1,VERBOSE_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,52.5,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q05_DELAY3,COMPACT_TYPED,288,1.0,9.125,2.875,1.875,0.0,1.0,1.125,0.5,0.0,0.0,18.875,1.875,0.875,143.75,5.875,0.0,1.875
LIVE_BELIEF,FAILURE_THRESHOLD,Q05_DELAY3,VERBOSE_TYPED,288,1.0,9.125,2.875,1.875,0.0,1.0,1.125,0.5,0.0,0.0,21.875,1.875,0.875,144.625,5.875,0.0,1.875
LIVE_BELIEF,FAILURE_THRESHOLD,Q06_FALSE3,COMPACT_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,52.5,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q06_FALSE3,VERBOSE_TYPED,288,0.25,4.625,7.375,5.625,0.0,1.0,5.625,0.0,0.0,0.0,64.5,5.625,0.0,0.0,12.0,0.0,5.625
LIVE_BELIEF,FAILURE_THRESHOLD,Q07_DUP_OOO,COMPACT_TYPED,288,1.0,9.875,2.125,1.125,0.0,1.0,0.375,0.5,0.0,0.0,15.0,1.125,1.0,164.5,6.0,0.0,1.125
LIVE_BELIEF,FAILURE_THRESHOLD,Q07_DUP_OOO,VERBOSE_TYPED,288,1.0,9.875,2.125,1.125,0.0,1.0,0.375,0.5,0.0,0.0,24.0,1.125,1.0,165.5,6.0,0.0,1.125
LIVE_BELIEF,FAILURE_THRESHOLD,Q08_GUARDED,COMPACT_TYPED,288,0.78125,8.36458333,3.63541667,1.64583333,0.0,1.0,1.11458333,0.37847222,0.0,0.0,20.30208333,1.64583333,0.71875,118.34375,7.65972222,0.0,1.64583333
LIVE_BELIEF,FAILURE_THRESHOLD,Q08_GUARDED,VERBOSE_TYPED,288,0.78125,8.36458333,3.63541667,1.64583333,0.0,1.0,1.11458333,0.37847222,0.0,0.0,27.61458333,1.64583333,0.71875,119.0625,7.65972222,0.0,1.64583333
LIVE_BELIEF,FAILURE_THRESHOLD,Q09_HOSTILE,COMPACT_TYPED,288,0.25,4.625,7.375,2.0,0.0,1.0,2.0,0.0,0.0,0.0,31.22916667,2.0,0.0,0.0,12.0,0.0,2.0
LIVE_BELIEF,FAILURE_THRESHOLD,Q09_HOSTILE,VERBOSE_TYPED,288,0.25,4.625,7.375,2.0,0.0,1.0,2.0,0.0,0.0,0.0,44.66666667,2.0,0.0,0.0,12.0,0.0,2.0
LIVE_BELIEF,HYBRID,Q00_CLEAN,COMPACT_TYPED,288,1.0,11.375,0.625,4.58333333,0.0,0.0,3.83333333,0.5,1.0,1.0,30.75,4.58333333,1.0,164.5,8.0,1.0,0.375
LIVE_BELIEF,HYBRID,Q00_CLEAN,VERBOSE_TYPED,288,1.0,11.375,0.625,4.58333333,0.0,0.0,3.83333333,0.5,1.0,1.0,33.75,4.58333333,1.0,165.5,8.0,1.0,0.375
LIVE_BELIEF,HYBRID,Q01_RECALL75,COMPACT_TYPED,288,0.78125,9.42708333,2.57291667,5.38888889,0.0,0.28125,4.85763889,0.37847222,0.71875,0.71875,38.91666667,5.38888889,0.71875,118.34375,9.09722222,0.71875,1.88541667
LIVE_BELIEF,HYBRID,Q01_RECALL75,VERBOSE_TYPED,288,0.78125,9.42708333,2.57291667,5.38888889,0.0,0.28125,4.85763889,0.37847222,0.71875,0.71875,41.07291667,5.38888889,0.71875,119.0625,9.09722222,0.71875,1.88541667
LIVE_BELIEF,HYBRID,Q02_RECALL50,COMPACT_TYPED,288,0.60763889,7.84375,4.15625,6.08680556,0.0,0.50694444,5.72916667,0.25347222,0.49305556,0.49305556,45.81944444,6.08680556,0.49305556,81.21527778,10.0625,0.49305556,3.12152778
LIVE_BELIEF,HYBRID,Q02_RECALL50,VERBOSE_TYPED,288,0.60763889,7.84375,4.15625,6.08680556,0.0,0.50694444,5.72916667,0.25347222,0.49305556,0.49305556,47.29861111,6.08680556,0.49305556,81.70833333,10.0625,0.49305556,3.12152778
LIVE_BELIEF,HYBRID,Q03_RECALL25,COMPACT_TYPED,288,0.42013889,6.14930556,5.85069444,6.81597222,0.0,0.76388889,6.64583333,0.12152778,0.23611111,0.23611111,53.06944444,6.81597222,0.23611111,38.89583333,11.11111111,0.23611111,4.44097222
LIVE_BELIEF,HYBRID,Q03_RECALL25,VERBOSE_TYPED,288,0.42013889,6.14930556,5.85069444,6.81597222,0.0,0.76388889,6.64583333,0.12152778,0.23611111,0.23611111,53.77777778,6.81597222,0.23611111,39.13194444,11.11111111,0.23611111,4.44097222
LIVE_BELIEF,HYBRID,Q04_DELAY1,COMPACT_TYPED,288,1.0,10.625,1.375,4.58333333,0.0,0.0,3.83333333,0.5,1.0,1.0,32.25,4.58333333,1.0,164.5,7.0,1.0,0.375
LIVE_BELIEF,HYBRID,Q04_DELAY1,VERBOSE_TYPED,288,1.0,10.625,1.375,4.58333333,0.0,0.0,3.83333333,0.5,1.0,1.0,35.25,4.58333333,1.0,165.5,7.0,1.0,0.375
LIVE_BELIEF,HYBRID,Q05_DELAY3,COMPACT_TYPED,288,1.0,9.125,2.875,5.0,0.0,1.0,4.25,0.5,1.0,1.0,37.75,5.0,1.0,164.5,5.0,1.0,1.0
LIVE_BELIEF,HYBRID,Q05_DELAY3,VERBOSE_TYPED,288,1.0,9.125,2.875,5.0,0.0,1.0,4.25,0.5,1.0,1.0,40.75,5.0,1.0,165.5,5.0,1.0,1.0
LIVE_BELIEF,HYBRID,Q06_FALSE3,COMPACT_TYPED,288,1.0,11.375,0.625,5.25,1.0,0.0,4.5,0.5,0.5,1.0,40.75,5.25,4.0,662.5,7.0,2.0,0.375
LIVE_BELIEF,HYBRID,Q06_FALSE3,VERBOSE_TYPED,288,1.0,11.375,0.625,5.25,1.0,0.0,4.5,0.5,0.5,1.0,52.75,5.25,4.0,666.5,7.0,2.0,0.375
LIVE_BELIEF,HYBRID,Q07_DUP_OOO,COMPACT_TYPED,288,1.0,10.625,1.375,5.08333333,0.0,0.0,4.33333333,0.5,1.0,1.0,39.25,5.08333333,3.0,493.5,6.0,2.0,0.125
LIVE_BELIEF,HYBRID,Q07_DUP_OOO,VERBOSE_TYPED,288,1.0,10.625,1.375,5.08333333,0.0,0.0,4.33333333,0.5,1.0,1.0,48.25,5.08333333,3.0,496.5,6.0,2.0,0.125
LIVE_BELIEF,HYBRID,Q08_GUARDED,COMPACT_TYPED,288,0.78125,8.71180556,3.28819444,3.97569444,0.0,0.28125,3.44444444,0.37847222,0.71875,0.71875,33.92013889,3.97569444,1.05208333,173.67708333,7.64583333,0.71875,0.89930556
LIVE_BELIEF,HYBRID,Q08_GUARDED,VERBOSE_TYPED,288,0.78125,8.71180556,3.28819444,3.97569444,0.0,0.28125,3.44444444,0.37847222,0.71875,0.71875,41.23263889,3.97569444,1.05208333,174.72916667,7.64583333,0.71875,0.89930556
LIVE_BELIEF,HYBRID,Q09_HOSTILE,COMPACT_TYPED,288,0.37152778,5.35416667,6.64583333,2.79166667,0.0,1.0,2.67013889,0.09027778,0.0,0.0,35.13194444,2.79166667,0.61111111,101.08333333,10.02777778,0.0,1.50347222
LIVE_BELIEF,HYBRID,Q09_HOSTILE,VERBOSE_TYPED,288,0.37152778,5.35416667,6.64583333,2.79166667,0.0,1.0,2.67013889,0.09027778,0.0,0.0,48.56944444,2.79166667,0.61111111,101.69444444,10.02777778,0.0,1.50347222
LIVE_BELIEF,PERIODIC_ONLY,Q00_CLEAN,COMPACT_TYPED,288,0.5,7.375,4.625,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,32.58333333,3.66666667,0.33333333,54.83333333,10.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q00_CLEAN,VERBOSE_TYPED,288,0.5,7.375,4.625,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,35.58333333,3.66666667,0.33333333,55.16666667,10.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q01_RECALL75,COMPACT_TYPED,288,0.43402778,6.64930556,5.35069444,3.66666667,0.0,1.0,3.48263889,0.12847222,0.0,0.0,33.67361111,3.66666667,0.25347222,41.72916667,10.47916667,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q01_RECALL75,VERBOSE_TYPED,288,0.43402778,6.64930556,5.35069444,3.66666667,0.0,1.0,3.48263889,0.12847222,0.0,0.0,35.82986111,3.66666667,0.25347222,41.98263889,10.47916667,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q02_RECALL50,COMPACT_TYPED,288,0.36805556,5.92361111,6.07638889,3.66666667,0.0,1.0,3.54861111,0.08333333,0.0,0.0,34.80208333,3.66666667,0.15625,25.73263889,11.0625,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q02_RECALL50,VERBOSE_TYPED,288,0.36805556,5.92361111,6.07638889,3.66666667,0.0,1.0,3.54861111,0.08333333,0.0,0.0,36.28125,3.66666667,0.15625,25.88888889,11.0625,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q03_RECALL25,COMPACT_TYPED,288,0.29861111,5.15972222,6.84027778,3.66666667,0.0,1.0,3.61805556,0.03472222,0.0,0.0,35.97569444,3.66666667,0.05902778,9.72222222,11.64583333,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q03_RECALL25,VERBOSE_TYPED,288,0.29861111,5.15972222,6.84027778,3.66666667,0.0,1.0,3.61805556,0.03472222,0.0,0.0,36.68402778,3.66666667,0.05902778,9.78125,11.64583333,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q04_DELAY1,COMPACT_TYPED,288,0.5,6.125,5.875,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,35.08333333,3.66666667,0.33333333,54.83333333,11.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q04_DELAY1,VERBOSE_TYPED,288,0.5,6.125,5.875,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,38.08333333,3.66666667,0.33333333,55.16666667,11.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q05_DELAY3,COMPACT_TYPED,288,0.5,6.625,5.375,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,34.08333333,3.66666667,0.33333333,54.83333333,9.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q05_DELAY3,VERBOSE_TYPED,288,0.5,6.625,5.375,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,37.08333333,3.66666667,0.33333333,55.16666667,9.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q06_FALSE3,COMPACT_TYPED,288,0.5,7.375,4.625,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,36.58333333,3.66666667,1.33333333,220.83333333,9.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q06_FALSE3,VERBOSE_TYPED,288,0.5,7.375,4.625,3.66666667,0.0,1.0,3.41666667,0.16666667,0.0,0.0,48.58333333,3.66666667,1.33333333,222.16666667,9.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q07_DUP_OOO,COMPACT_TYPED,288,0.75,7.875,4.125,3.66666667,0.0,1.0,3.16666667,0.33333333,0.0,0.0,34.25,3.66666667,1.0,164.5,9.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q07_DUP_OOO,VERBOSE_TYPED,288,0.75,7.875,4.125,3.66666667,0.0,1.0,3.16666667,0.33333333,0.0,0.0,43.25,3.66666667,1.0,165.5,9.0,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q08_GUARDED,COMPACT_TYPED,288,0.59722222,6.88194444,5.11805556,3.66666667,0.0,1.0,3.31944444,0.25,0.0,0.0,35.47222222,3.66666667,0.79861111,131.94791667,7.92708333,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q08_GUARDED,VERBOSE_TYPED,288,0.59722222,6.88194444,5.11805556,3.66666667,0.0,1.0,3.31944444,0.25,0.0,0.0,42.78472222,3.66666667,0.79861111,132.74652778,7.92708333,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q09_HOSTILE,COMPACT_TYPED,288,0.36805556,5.56944444,6.43055556,2.0,0.0,1.0,1.88194444,0.08333333,0.0,0.0,29.98611111,2.0,0.64583333,106.79861111,9.59375,0.0,0.0
LIVE_BELIEF,PERIODIC_ONLY,Q09_HOSTILE,VERBOSE_TYPED,288,0.36805556,5.56944444,6.43055556,2.0,0.0,1.0,1.88194444,0.08333333,0.0,0.0,43.42361111,2.0,0.64583333,107.44444444,9.59375,0.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q00_CLEAN,COMPACT_TYPED,288,1.0,11.375,0.625,1.0,0.0,0.0,0.25,0.5,1.0,1.0,9.25,1.0,1.0,164.5,8.0,1.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q00_CLEAN,VERBOSE_TYPED,288,1.0,11.375,0.625,1.0,0.0,0.0,0.25,0.5,1.0,1.0,12.25,1.0,1.0,165.5,8.0,1.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q01_RECALL75,COMPACT_TYPED,288,0.78125,9.42708333,2.57291667,0.71875,0.0,0.28125,0.1875,0.37847222,0.71875,0.71875,10.89583333,0.71875,0.71875,118.34375,9.09722222,0.71875,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q01_RECALL75,VERBOSE_TYPED,288,0.78125,9.42708333,2.57291667,0.71875,0.0,0.28125,0.1875,0.37847222,0.71875,0.71875,13.05208333,0.71875,0.71875,119.0625,9.09722222,0.71875,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q02_RECALL50,COMPACT_TYPED,288,0.60763889,7.84375,4.15625,0.49305556,0.0,0.50694444,0.13541667,0.25347222,0.49305556,0.49305556,12.25694444,0.49305556,0.49305556,81.21527778,10.0625,0.49305556,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q02_RECALL50,VERBOSE_TYPED,288,0.60763889,7.84375,4.15625,0.49305556,0.0,0.50694444,0.13541667,0.25347222,0.49305556,0.49305556,13.73611111,0.49305556,0.49305556,81.70833333,10.0625,0.49305556,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q03_RECALL25,COMPACT_TYPED,288,0.42013889,6.14930556,5.85069444,0.23611111,0.0,0.76388889,0.06597222,0.12152778,0.23611111,0.23611111,13.59027778,0.23611111,0.23611111,38.89583333,11.11111111,0.23611111,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q03_RECALL25,VERBOSE_TYPED,288,0.42013889,6.14930556,5.85069444,0.23611111,0.0,0.76388889,0.06597222,0.12152778,0.23611111,0.23611111,14.29861111,0.23611111,0.23611111,39.13194444,11.11111111,0.23611111,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q04_DELAY1,COMPACT_TYPED,288,1.0,10.625,1.375,1.0,0.0,0.0,0.25,0.5,1.0,1.0,10.75,1.0,1.0,164.5,7.0,1.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q04_DELAY1,VERBOSE_TYPED,288,1.0,10.625,1.375,1.0,0.0,0.0,0.25,0.5,1.0,1.0,13.75,1.0,1.0,165.5,7.0,1.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q05_DELAY3,COMPACT_TYPED,288,1.0,9.125,2.875,1.0,0.0,1.0,0.0,1.0,1.0,1.0,13.75,1.0,1.0,164.5,5.0,1.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q05_DELAY3,VERBOSE_TYPED,288,1.0,9.125,2.875,1.0,0.0,1.0,0.0,1.0,1.0,1.0,16.75,1.0,1.0,165.5,5.0,1.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q06_FALSE3,COMPACT_TYPED,288,1.0,11.375,0.625,2.0,1.0,0.0,1.25,0.5,0.5,1.0,21.25,2.0,4.0,662.5,7.0,2.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q06_FALSE3,VERBOSE_TYPED,288,1.0,11.375,0.625,2.0,1.0,0.0,1.25,0.5,0.5,1.0,33.25,2.0,4.0,666.5,7.0,2.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q07_DUP_OOO,COMPACT_TYPED,288,1.0,10.75,1.25,2.0,0.0,0.0,1.0,0.75,1.0,1.0,20.5,2.0,3.0,493.5,6.0,2.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q07_DUP_OOO,VERBOSE_TYPED,288,1.0,10.75,1.25,2.0,0.0,0.0,1.0,0.75,1.0,1.0,29.5,2.0,3.0,496.5,6.0,2.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q08_GUARDED,COMPACT_TYPED,288,0.78125,8.45138889,3.54861111,1.71875,1.0,0.0,1.0,0.71875,0.359375,0.71875,21.56597222,1.71875,1.71875,284.34375,6.5625,1.71875,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q08_GUARDED,VERBOSE_TYPED,288,0.78125,8.45138889,3.54861111,1.71875,1.0,0.0,1.0,0.71875,0.359375,0.71875,28.87847222,1.71875,1.71875,286.0625,6.5625,1.71875,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q09_HOSTILE,COMPACT_TYPED,288,0.60763889,6.41319444,5.58680556,1.49305556,1.0,0.0,1.0,0.49305556,0.24652778,0.49305556,27.10416667,1.49305556,2.49305556,413.37152778,6.02777778,1.49305556,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q09_HOSTILE,VERBOSE_TYPED,288,0.60763889,6.41319444,5.58680556,1.49305556,1.0,0.0,1.0,0.49305556,0.24652778,0.49305556,40.54166667,1.49305556,2.49305556,415.86458333,6.02777778,1.49305556,0.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q00_CLEAN,COMPACT_TYPED,288,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q00_CLEAN,VERBOSE_TYPED,288,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q01_RECALL75,COMPACT_TYPED,288,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.71875,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q01_RECALL75,VERBOSE_TYPED,288,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12.875,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q02_RECALL50,COMPACT_TYPED,288,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.49305556,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q02_RECALL50,VERBOSE_TYPED,288,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,11.97222222,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q03_RECALL25,COMPACT_TYPED,288,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.23611111,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q03_RECALL25,VERBOSE_TYPED,288,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.94444444,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q04_DELAY1,COMPACT_TYPED,288,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,12.0,0.0,1.0
