storage_variant,trigger_policy,quality_id,n,completion,progress,retries,wakes,false_wakes,late_wakes,wasted_wakes,thrash,trigger_precision,trigger_recall,cost_proxy,storage_reads,storage_writes,storage_bytes,storage_age,escalation_event,escalation_failure
LIVE_EPISODIC,EVENT_DRIVEN,Q04_DELAY1,576,1.0,10.625,1.375,1.0,0.0,0.0,0.25,0.5,1.0,1.0,12.25,1.0,1.0,165.0,7.0,1.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q05_DELAY3,576,1.0,9.125,2.875,1.0,0.0,1.0,0.0,1.0,1.0,1.0,15.25,1.0,1.0,165.0,5.0,1.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q06_FALSE3,576,1.0,11.375,0.625,2.0,1.0,0.0,1.25,0.5,0.5,1.0,27.25,2.0,4.0,664.5,7.0,2.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q07_DUP_OOO,576,1.0,10.75,1.25,2.0,0.0,0.0,1.0,0.75,1.0,1.0,25.0,2.0,3.0,495.0,6.0,2.0,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q08_GUARDED,576,0.78125,8.45138889,3.54861111,1.71875,1.0,0.0,1.0,0.71875,0.359375,0.71875,25.22222222,1.71875,1.71875,285.203125,6.5625,1.71875,0.0
LIVE_EPISODIC,EVENT_DRIVEN,Q09_HOSTILE,576,0.60763889,6.41319444,5.58680556,1.49305556,1.0,0.0,1.0,0.49305556,0.24652778,0.49305556,33.82291667,1.49305556,2.49305556,414.61805556,6.02777778,1.49305556,0.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q00_CLEAN,576,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12.5,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q01_RECALL75,576,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,11.796875,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q02_RECALL50,576,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,11.23263889,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q03_RECALL25,576,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.59027778,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q04_DELAY1,576,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12.5,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q05_DELAY3,576,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12.5,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q06_FALSE3,576,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q07_DUP_OOO,576,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,18.5,1.0,1.0,165.0,6.0,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q08_GUARDED,576,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,16.8125,1.0,0.71875,118.703125,7.65972222,0.0,1.0
LIVE_EPISODIC,FAILURE_THRESHOLD,Q09_HOSTILE,576,1.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,21.19791667,1.0,0.0,0.0,12.0,0.0,1.0
LIVE_EPISODIC,HYBRID,Q00_CLEAN,576,1.0,11.5,0.5,4.5,0.0,0.0,3.5,0.75,1.0,1.0,31.5,4.5,1.0,165.0,8.0,1.0,0.25
LIVE_EPISODIC,HYBRID,Q01_RECALL75,576,1.0,11.0625,0.9375,4.44097222,0.0,0.28125,3.44097222,0.84722222,0.71875,0.71875,31.03645833,4.44097222,0.71875,118.703125,9.09722222,0.71875,0.46875
LIVE_EPISODIC,HYBRID,Q02_RECALL50,576,1.0,10.71527778,1.28472222,4.43402778,0.0,0.50694444,3.43402778,0.89583333,0.49305556,0.49305556,30.89930556,4.43402778,0.49305556,81.46180556,10.0625,0.49305556,0.64236111
LIVE_EPISODIC,HYBRID,Q03_RECALL25,576,1.0,10.34027778,1.65972222,4.40972222,0.0,0.76388889,3.40972222,0.95138889,0.23611111,0.23611111,30.60416667,4.40972222,0.23611111,39.01388889,11.11111111,0.23611111,0.82986111
LIVE_EPISODIC,HYBRID,Q04_DELAY1,576,1.0,10.75,1.25,4.5,0.0,0.0,3.5,0.75,1.0,1.0,33.0,4.5,1.0,165.0,7.0,1.0,0.25
LIVE_EPISODIC,HYBRID,Q05_DELAY3,576,1.0,10.0,2.0,5.0,0.0,1.0,4.0,1.0,1.0,1.0,37.5,5.0,1.0,165.0,5.0,1.0,1.0
LIVE_EPISODIC,HYBRID,Q06_FALSE3,576,1.0,11.5,0.5,5.16666667,1.0,0.0,4.16666667,0.75,0.5,1.0,46.0,5.16666667,4.0,664.5,7.0,2.0,0.25
LIVE_EPISODIC,HYBRID,Q07_DUP_OOO,576,1.0,10.75,1.25,5.0,0.0,0.0,4.0,0.75,1.0,1.0,43.0,5.0,3.0,495.0,6.0,2.0,0.0
LIVE_EPISODIC,HYBRID,Q08_GUARDED,576,1.0,10.20486111,1.79513889,3.69097222,0.0,0.28125,2.69097222,0.90277778,0.71875,0.71875,32.88194444,3.69097222,1.05208333,174.203125,7.64583333,0.71875,0.32986111
LIVE_EPISODIC,HYBRID,Q09_HOSTILE,576,0.75,8.91666667,3.08333333,2.54166667,0.0,1.0,1.625,0.91666667,0.0,0.0,33.22569444,2.54166667,0.61111111,101.38888889,10.02777778,0.0,0.875
LIVE_EPISODIC,PERIODIC_ONLY,Q00_CLEAN,576,1.0,9.91666667,2.08333333,3.66666667,0.0,1.0,2.66666667,0.91666667,0.0,0.0,29.0,3.66666667,0.33333333,55.0,10.0,0.0,0.0
LIVE_EPISODIC,PERIODIC_ONLY,Q01_RECALL75,576,1.0,9.71875,2.28125,3.66666667,0.0,1.0,2.66666667,0.94444444,0.0,0.0,28.61284722,3.66666667,0.25347222,41.85590278,10.47916667,0.0,0.0
LIVE_EPISODIC,PERIODIC_ONLY,Q02_RECALL50,576,1.0,9.52083333,2.47916667,3.66666667,0.0,1.0,2.66666667,0.96527778,0.0,0.0,28.34722222,3.66666667,0.15625,25.81076389,11.0625,0.0,0.0
LIVE_EPISODIC,PERIODIC_ONLY,Q03_RECALL25,576,1.0,9.3125,2.6875,3.66666667,0.0,1.0,2.66666667,0.98611111,0.0,0.0,28.02430556,3.66666667,0.05902778,9.75173611,11.64583333,0.0,0.0
LIVE_EPISODIC,PERIODIC_ONLY,Q04_DELAY1,576,1.0,9.91666667,2.08333333,3.66666667,0.0,1.0,2.66666667,0.91666667,0.0,0.0,29.0,3.66666667,0.33333333,55.0,11.0,0.0,0.0
LIVE_EPISODIC,PERIODIC_ONLY,Q05_DELAY3,576,1.0,9.16666667,2.83333333,3.66666667,0.0,1.0,2.66666667,1.0,0.0,0.0,30.5,3.66666667,0.33333333,55.0,9.0,0.0,0.0
LIVE_EPISODIC,PERIODIC_ONLY,Q06_FALSE3,576,1.0,9.91666667,2.08333333,3.66666667,0.0,1.0,2.66666667,0.91666667,0.0,0.0,37.5,3.66666667,1.33333333,221.5,9.0,0.0,0.0
LIVE_EPISODIC,PERIODIC_ONLY,Q07_DUP_OOO,576,1.0,9.91666667,2.08333333,3.66666667,0.0,1.0,2.66666667,0.91666667,0.0,0.0,34.66666667,3.66666667,1.0,165.0,9.0,0.0,0.0
LIVE_EPISODIC,PERIODIC_ONLY,Q08_GUARDED,576,1.0,9.6875,2.3125,3.66666667,0.0,1.0,2.66666667,0.94444444,0.0,0.0,33.51736111,3.66666667,0.79861111,132.34722222,7.92708333,0.0,0.0
LIVE_EPISODIC,PERIODIC_ONLY,Q09_HOSTILE,576,0.5,7.625,4.375,2.0,0.0,1.0,1.33333333,0.66666667,0.0,0.0,32.59375,2.0,0.64583333,107.12152778,9.59375,0.0,0.0
