draw_id,R3-R0:mission_success:sampled_seeds,R3-R0:safety_composite:sampled_seeds,R3-R0:progress:sampled_seeds,R3-R0:total_wakes:sampled_seeds,R3-R1:mission_success:sampled_seeds,R3-R1:safety_composite:sampled_seeds,R3-R1:progress:sampled_seeds,R3-R1:total_wakes:sampled_seeds,R3-R2:mission_success:sampled_seeds,R3-R2:safety_composite:sampled_seeds,R3-R2:progress:sampled_seeds,R3-R2:total_wakes:sampled_seeds,P4-P6:mission_success:sampled_seeds,P4-P6:progress:sampled_seeds,R3-R0:mission_success,R3-R0:safety_composite,R3-R0:progress,R3-R0:total_wakes,R3-R1:mission_success,R3-R1:safety_composite,R3-R1:progress,R3-R1:total_wakes,R3-R2:mission_success,R3-R2:safety_composite,R3-R2:progress,R3-R2:total_wakes,P4-P6:mission_success,P4-P6:progress
10,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262307|20262303|20262306|20262308|20262305|20262310|20262308|20262307|20262305|20262303,20262301|20262301|20262301|20262303|20262301,20262301|20262301|20262301|20262303|20262301,0.6606060606060606,0.01818181818181818,0.610198103491572,-0.5507575757575758,0.23636363636363633,0.01818181818181818,0.2286279454897672,0.2128787878787879,-0.01818181818181818,0.01818181818181818,-0.01578966842282905,-0.6606060606060606,-0.2581818181818182,-0.2500831094512909
11,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262303|20262309|20262307|20262301|20262307|20262307|20262309|20262306|20262303|20262305,20262301|20262301|20262301|20262303|20262302,20262301|20262301|20262301|20262303|20262302,0.6727272727272728,0.01818181818181818,0.6195875101003208,-0.5613636363636363,0.2409090909090909,0.01818181818181818,0.23237399807693496,0.2159090909090909,-0.01818181818181818,0.01818181818181818,-0.015789671047162578,-0.6727272727272728,-0.2581818181818182,-0.2465121053880659
12,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262306|20262309|20262305|20262302|20262309|20262309|20262305|20262305,20262301|20262301|20262301|20262303|20262303,20262301|20262301|20262301|20262303|20262303,0.6848484848484849,0.0,0.6321298971129028,-0.5909090909090909,0.25681818181818183,0.0,0.24691669966867394,0.17954545454545456,0.0,0.0,3.141280621227709e-08,-0.6848484848484849,-0.2436363636363636,-0.2361867943373694
13,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262305|20262308|20262305|20262310|20262305|20262306|20262306|20262309|20262304,20262301|20262301|20262301|20262303|20262304,20262301|20262301|20262301|20262303|20262304,0.6787878787878788,0.0,0.627945478813704,-0.5856060606060607,0.2545454545454545,0.0,0.24519932728922872,0.17803030303030304,0.0,0.0,2.587469907113244e-08,-0.6787878787878788,-0.27636363636363637,-0.2579907841236196
14,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262302|20262302|20262308|20262301|20262309|20262305|20262304|20262306|20262307|20262308,20262301|20262301|20262301|20262303|20262305,20262301|20262301|20262301|20262303|20262305,0.6787878787878789,0.0,0.6263785082564255,-0.568939393939394,0.2545454545454545,0.0,0.2446041687006976,0.1946969696969697,0.0,0.0,7.090178712922406e-08,-0.6787878787878789,-0.27030303030303027,-0.2578315317651468
15,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262310|20262304|20262308|20262301|20262307|20262310|20262302|20262310|20262306|20262302,20262301|20262301|20262301|20262304|20262301,20262301|20262301|20262301|20262304|20262301,0.6727272727272728,0.0,0.6205623497129045,-0.5386363636363636,0.25227272727272726,0.0,0.24235119119536477,0.21818181818181817,0.0,0.0,5.584959963263319e-08,-0.6727272727272728,-0.2909090909090909,-0.2718870992375411
16,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262310|20262304|20262307|20262306|20262302|20262306|20262308|20262301|20262304,20262301|20262301|20262301|20262304|20262302,20262301|20262301|20262301|20262304|20262302,0.6787878787878789,0.0,0.6265217986236584,-0.568939393939394,0.2545454545454545,0.0,0.2446358712103817,0.1946969696969697,0.0,0.0,4.941349563439532e-08,-0.6787878787878789,-0.2909090909090909,-0.2683160951743161
17,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262308|20262305|20262310|20262302|20262309|20262306|20262302|20262308|20262307|20262307,20262301|20262301|20262301|20262304|20262303,20262301|20262301|20262301|20262304|20262303,0.6727272727272728,0.0,0.6203270242815859,-0.5469696969696971,0.25227272727272726,0.0,0.2422687451959556,0.20984848484848487,0.0,0.0,7.522398059565655e-08,-0.6727272727272728,-0.2763636363636363,-0.25799078412361953
18,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262307|20262307|20262306|20262309|20262303|20262301|20262304|20262306|20262303|20262309,20262301|20262301|20262301|20262304|20262304,20262301|20262301|20262301|20262304|20262304,0.6787878787878789,0.01818181818181818,0.6255155743322022,-0.575,0.24318181818181817,0.01818181818181818,0.23469193762454493,0.20909090909090908,-0.01818181818181818,0.01818181818181818,-0.0157896663941876,-0.6787878787878789,-0.3090909090909091,-0.27979477390986973
19,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262306|20262310|20262307|20262306|20262310|20262308|20262309|20262309|20262310|20262301,20262301|20262301|20262301|20262304|20262305,20262301|20262301|20262301|20262304|20262305,0.6787878787878789,0.0,0.6260223364381774,-0.5606060606060607,0.2545454545454545,0.0,0.24454834772126932,0.20303030303030303,0.0,0.0,3.9834538255330416e-08,-0.6787878787878789,-0.303030303030303,-0.2796355215513969
